"lambda_input","n32","n64","n128","n256","n512","n1024"
0,0.0104029781440323,0.00629894310091733,0.00605164016084019,0.00295585013539725,0.00243660012940661,0.00148944710874565
0.05,0.00602518151399267,0.00761167973526556,0.00534713793232184,0.0039126264084177,0.00263549277825328,0.00120919797008252
0.1,0.00834813308101438,0.00555503723345796,0.00303853701900123,0.00256638095893741,0.00279951320442456,0.00195889641739576
0.15,0.0102999515896055,0.00439717480856376,0.00408494347469924,0.0027028541717378,0.00248279762770897,0.00160280144156787
0.2,0.00948420496504747,0.00555383543081089,0.00470073808122221,0.00385186188368623,0.00262543439049513,0.00179168505585678
0.25,0.00779142714779277,0.00691745889016358,0.00437927621199859,0.00245907313727096,0.00218271070822903,0.00157350552512869
0.3,0.0104413159750889,0.00591380026810854,0.00378237613269487,0.00233810304364435,0.00255535214588048,0.00175692297350588
0.35,0.010691087530061,0.00674622871330235,0.00454260126802344,0.0035614283827302,0.00360498802717282,0.00250164993726724
0.4,0.00889209798883793,0.00510276185557226,0.00443882141664277,0.00330940880938977,0.00342620822471189,0.00387727073226919
0.45,0.00813841142344304,0.00952027462210522,0.00480776266346805,0.0047125397755838,0.00374914141883611,0.00162465624617857
0.5,0.0150724971436613,0.00625464482378097,0.00468790643983335,0.00385668108797349,0.00302022581209426,0.00343868182478389
0.55,0.0147966104780206,0.00672611449677652,0.00518562143284667,0.00497894860790775,0.00423405288874925,0.00356473989849397
0.6,0.0113518611999703,0.00939027613614173,0.00857506442586442,0.00604343535981669,0.00310633758516048,0.00578245824978961
0.65,0.00796512558952638,0.00881472019281837,0.00642897019929458,0.00584313537637655,0.00587895212445977,0.0049246023097588
0.7,0.0167656679268235,0.00915837699642912,0.00609505594382021,0.0080146618868282,0.00782569594573735,0.00402993967442638
0.75,0.0169146361219409,0.00890892600499594,0.00822260676551594,0.00768882640046061,0.0102956559385181,0.00803226211926543
0.8,0.0176474244948598,0.0128073795652913,0.0113607719064998,0.0102035036563048,0.00824050678518605,0.0120940036400583
0.85,0.0200954959386129,0.0103150906048629,0.0143558440772899,0.00732361936807084,0.0140450247349638,0.00900525424284412
0.9,0.0171075229187748,0.0155700727298594,0.0159665366537142,0.0174764001747182,0.019816334104744,0.01076178891363
0.95,0.0144814220310712,0.0181863459388514,0.015615572844899,0.0134148554283897,0.0246392707775281,0.0165872103253695
1,0.0174870021932646,0.0151253272044417,0.0157128652374442,0.0221881112548749,0.0229290460931777,0.0252178808395695
